property	url	status	title
--*	https://www.w3.org/TR/2021/CRD-css-variables-1-20211111/#propdef-	CRD	CSS Custom Properties for Cascading Variables Module Level 1
-webkit-line-clamp	https://www.w3.org/TR/2021/WD-css-overflow-3-20211223/#propdef--webkit-line-clamp	WD	CSS Overflow Module Level 3
accent-color	https://www.w3.org/TR/2021/WD-css-ui-4-20210316/#propdef-accent-color	WD	CSS Basic User Interface Module Level 4
align-content	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-align-content	CR	CSS Flexible Box Layout Module Level 1
align-content	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-align-content	WD	CSS Box Alignment Module Level 3
align-items	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-align-items	CR	CSS Flexible Box Layout Module Level 1
align-items	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-align-items	WD	CSS Box Alignment Module Level 3
align-self	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-align-self	CR	CSS Flexible Box Layout Module Level 1
align-self	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-align-self	WD	CSS Box Alignment Module Level 3
alignment-baseline	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-alignment-baseline	WD	CSS Inline Layout Module Level 3
all	https://www.w3.org/TR/2021/REC-css-cascade-3-20210211/#propdef-all	REC	CSS Cascading and Inheritance Level 3
all	https://www.w3.org/TR/2022/CR-css-cascade-4-20220113/#propdef-all	CR	CSS Cascading and Inheritance Level 4
all	https://www.w3.org/TR/2022/CR-css-cascade-5-20220113/#propdef-all	CR	CSS Cascading and Inheritance Level 5
animation	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation	WD	CSS Animations Level 1
animation-delay	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-delay	WD	CSS Animations Level 1
animation-direction	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-direction	WD	CSS Animations Level 1
animation-duration	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-duration	WD	CSS Animations Level 1
animation-fill-mode	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-fill-mode	WD	CSS Animations Level 1
animation-iteration-count	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-iteration-count	WD	CSS Animations Level 1
animation-name	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-name	WD	CSS Animations Level 1
animation-play-state	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-play-state	WD	CSS Animations Level 1
animation-timing-function	https://www.w3.org/TR/2018/WD-css-animations-1-20181011/#propdef-animation-timing-function	WD	CSS Animations Level 1
appearance	https://www.w3.org/TR/2021/WD-css-ui-4-20210316/#propdef-appearance	WD	CSS Basic User Interface Module Level 4
aspect-ratio	https://www.w3.org/TR/2021/WD-css-sizing-4-20210520/#propdef-aspect-ratio	WD	CSS Box Sizing Module Level 4
azimuth	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-azimuth	REC	CSS 2.1
backface-visibility	https://www.w3.org/TR/2021/WD-css-transforms-2-20211109/#propdef-backface-visibility	WD	CSS Transforms Module Level 2
background	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background	REC	CSS 2.1
background	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background	CRD	CSS Backgrounds and Borders Module Level 3
background-attachment	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-attachment	REC	CSS 2.1
background-attachment	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-attachment	CRD	CSS Backgrounds and Borders Module Level 3
background-blend-mode	https://drafts.fxtf.org/compositing-1/#propdef-background-blend-mode	ED	Compositing and Blending Level 1
background-blend-mode	https://www.w3.org/TR/2015/CR-compositing-1-20150113/#propdef-background-blend-mode	CR	Compositing and Blending Level 1
background-clip	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-clip	CRD	CSS Backgrounds and Borders Module Level 3
background-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-color	REC	CSS 2.1
background-color	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-color	CRD	CSS Backgrounds and Borders Module Level 3
background-image	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-image	REC	CSS 2.1
background-image	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-image	CRD	CSS Backgrounds and Borders Module Level 3
background-origin	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-origin	CRD	CSS Backgrounds and Borders Module Level 3
background-position	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-position	REC	CSS 2.1
background-position	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-position	CRD	CSS Backgrounds and Borders Module Level 3
background-repeat	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-repeat	REC	CSS 2.1
background-repeat	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-repeat	CRD	CSS Backgrounds and Borders Module Level 3
background-size	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-background-size	CRD	CSS Backgrounds and Borders Module Level 3
baseline-shift	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-baseline-shift	WD	CSS Inline Layout Module Level 3
baseline-source	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-baseline-source	WD	CSS Inline Layout Module Level 3
block-ellipsis	https://www.w3.org/TR/2021/WD-css-overflow-3-20211223/#propdef-block-ellipsis	WD	CSS Overflow Module Level 3
block-size	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-block-size	WD	CSS Logical Properties and Values Level 1
block-step	https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step	FPWD	CSS Rhythmic Sizing
block-step-align	https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-align	FPWD	CSS Rhythmic Sizing
block-step-insert	https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-insert	FPWD	CSS Rhythmic Sizing
block-step-round	https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-round	FPWD	CSS Rhythmic Sizing
block-step-size	https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-size	FPWD	CSS Rhythmic Sizing
bookmark-label	https://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-label	WD	CSS Generated Content for Paged Media Module
bookmark-label	https://www.w3.org/TR/2019/WD-css-content-3-20190802/#propdef-bookmark-label	WD	CSS Generated Content Module Level 3
bookmark-level	https://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-level	WD	CSS Generated Content for Paged Media Module
bookmark-level	https://www.w3.org/TR/2019/WD-css-content-3-20190802/#propdef-bookmark-level	WD	CSS Generated Content Module Level 3
bookmark-state	https://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-state	WD	CSS Generated Content for Paged Media Module
bookmark-state	https://www.w3.org/TR/2019/WD-css-content-3-20190802/#propdef-bookmark-state	WD	CSS Generated Content Module Level 3
border	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border	REC	CSS 2.1
border	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border	CRD	CSS Backgrounds and Borders Module Level 3
border-block	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block	WD	CSS Logical Properties and Values Level 1
border-block-color	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-color	WD	CSS Logical Properties and Values Level 1
border-block-end	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end	WD	CSS Logical Properties and Values Level 1
border-block-end-color	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end-color	WD	CSS Logical Properties and Values Level 1
border-block-end-style	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end-style	WD	CSS Logical Properties and Values Level 1
border-block-end-width	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end-width	WD	CSS Logical Properties and Values Level 1
border-block-start	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start	WD	CSS Logical Properties and Values Level 1
border-block-start-color	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start-color	WD	CSS Logical Properties and Values Level 1
border-block-start-style	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start-style	WD	CSS Logical Properties and Values Level 1
border-block-start-width	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start-width	WD	CSS Logical Properties and Values Level 1
border-block-style	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-style	WD	CSS Logical Properties and Values Level 1
border-block-width	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-width	WD	CSS Logical Properties and Values Level 1
border-bottom	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom	REC	CSS 2.1
border-bottom	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-bottom	CRD	CSS Backgrounds and Borders Module Level 3
border-bottom-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-color	REC	CSS 2.1
border-bottom-color	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-bottom-color	CRD	CSS Backgrounds and Borders Module Level 3
border-bottom-left-radius	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-bottom-left-radius	CRD	CSS Backgrounds and Borders Module Level 3
border-bottom-right-radius	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-bottom-right-radius	CRD	CSS Backgrounds and Borders Module Level 3
border-bottom-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-style	REC	CSS 2.1
border-bottom-style	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-bottom-style	CRD	CSS Backgrounds and Borders Module Level 3
border-bottom-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-width	REC	CSS 2.1
border-bottom-width	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-bottom-width	CRD	CSS Backgrounds and Borders Module Level 3
border-boundary	https://www.w3.org/TR/2016/WD-css-round-display-1-20161222/#propdef-border-boundary	WD	CSS Round Display Level 1
border-collapse	http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-border-collapse	REC	CSS 2.1
border-collapse	https://www.w3.org/TR/2019/WD-css-tables-3-20190727/#propdef-border-collapse	WD	CSS Table Module Level 3
border-color	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-color	REC	CSS 2.1
border-color	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-color	CRD	CSS Backgrounds and Borders Module Level 3
border-end-end-radius	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-end-end-radius	WD	CSS Logical Properties and Values Level 1
border-end-start-radius	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-end-start-radius	WD	CSS Logical Properties and Values Level 1
border-image	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-image	CRD	CSS Backgrounds and Borders Module Level 3
border-image-outset	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-image-outset	CRD	CSS Backgrounds and Borders Module Level 3
border-image-repeat	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-image-repeat	CRD	CSS Backgrounds and Borders Module Level 3
border-image-slice	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-image-slice	CRD	CSS Backgrounds and Borders Module Level 3
border-image-source	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-image-source	CRD	CSS Backgrounds and Borders Module Level 3
border-image-width	https://www.w3.org/TR/2021/CRD-css-backgrounds-3-20210726/#propdef-border-image-width	CRD	CSS Backgrounds and Borders Module Level 3
border-inline	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline	WD	CSS Logical Properties and Values Level 1
